,Hospital Type,Hospital Ownership,Emergency Services,Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
3635,,,,400106,METROPOLITAN HOSPITAL,CARRETERA 21 1785 URB LAS LOMAS,,,SAN JUAN,PR,915.0,SAN JUAN,7877829999.0,16.8,No Different than U.S. National Rate,12.6,21.7,26,,12.1,No Different than U.S. National Rate,8.7,16.9,66,,17.0,Worse than U.S. National Rate,13.1,22.0,134,,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.9,No Different than U.S. National Rate,21.3,31.1,70,,21.2,No Different than U.S. National Rate,17.0,26.1,123,
3636,,,,400109,HOSPITAL HIMA-SAN PABLO BAYAMON,CALLE SANTA CRUZ NUMERO 70  URB SANTA CRUZ,,,BAYAMON,PR,960.0,BAYAMON,7876204747.0,15.9,No Different than U.S. National Rate,12.2,20.2,121,,11.8,No Different than U.S. National Rate,8.8,15.7,183,,15.5,No Different than U.S. National Rate,11.7,20.0,156,,23.0,No Different than U.S. National Rate,18.8,27.3,129,,26.0,No Different than U.S. National Rate,22.0,30.5,202,,17.6,No Different than U.S. National Rate,14.3,21.6,137,
3637,,,,400110,HOSPITAL METROPOLITANO DR TITO MATTEI,ROAD 128 KM 1.0,,,YAUCO,PR,698.0,YAUCO,7878561000.0,16.5,No Different than U.S. National Rate,12.2,22.3,35,,11.2,No Different than U.S. National Rate,7.6,16.2,33,,14.2,No Different than U.S. National Rate,9.8,19.9,32,,20.1,No Different than U.S. National Rate,16.1,24.9,32,,26.1,No Different than U.S. National Rate,21.1,31.8,43,,20.4,No Different than U.S. National Rate,15.9,25.8,27,
3638,,,,400111,HOSPITAL SAN CARLOS BORROMEO, CALLE CONCEPCION VERA AYALA #550 S,,,MOCA,PR,676.0,MOCA,7878778000.0,16.2,No Different than U.S. National Rate,12.4,20.7,26,,12.0,No Different than U.S. National Rate,8.3,17.2,37,,17.3,No Different than U.S. National Rate,11.9,24.7,29,,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.7,No Different than U.S. National Rate,20.0,30.0,40,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3639,,,,400112,"HOSPITAL UPR, DR  FEDERICO TRILLA",CARR 3 KM 8  3 AVE 65TH INFANTERIA       BOX 6021,,,CAROLINA,PR,984.0,CAROLINA,7877571800.0,14.1,No Different than U.S. National Rate,10.6,18.3,39,,10.6,No Different than U.S. National Rate,7.0,15.4,25,,16.5,No Different than U.S. National Rate,11.8,22.7,52,,19.1,No Different than U.S. National Rate,14.9,24.1,31,,26.4,No Different than U.S. National Rate,21.3,32.6,29,,18.5,No Different than U.S. National Rate,14.0,23.4,42,
3640,,,,400113,HOSPITAL SAN CRISTOBAL,CARR 506 KM 1 0,,,COTO LAUREL,PR,780.0,PONCE,7878482100.0,16.1,No Different than U.S. National Rate,12.0,20.9,29,,12.1,No Different than U.S. National Rate,8.4,17.2,45,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,19,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,28.1,No Different than U.S. National Rate,22.9,33.9,48,,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3641,,,,400114,MANATI MEDICAL CENTER DR OTERO LOPEZ,CALLE HERNANDEZ CARRION URB ATENAS,,,MANATI,PR,674.0,MANATI,7876213700.0,15.7,No Different than U.S. National Rate,11.4,21.2,26,,12.1,No Different than U.S. National Rate,8.7,16.7,101,,15.7,No Different than U.S. National Rate,11.2,21.3,87,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.0,No Different than U.S. National Rate,22.8,31.3,123,,19.9,No Different than U.S. National Rate,15.9,24.6,76,
3642,,,,400115,CENTRO MEDICO WILMA N VAZQUEZ,CARR. 2 KM 39.5    ROAD NUMBER 2 BO ALGARROBO,,,VEGA BAJA,PR,693.0,VEGA BAJA,7878581580.0,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,7,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3643,,,,400117,HOSPITAL DR SUSONI INC,55 PALM ST,,,ARECIBO,PR,614.0,ARECIBO,7876501031.0,14.5,No Different than U.S. National Rate,10.4,19.7,26,,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.2,No Different than U.S. National Rate,8.8,19.4,27,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3644,,,,400118,"DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47 7",,,MANATI,PR,674.0,MANATI,7878543322.0,18.6,No Different than U.S. National Rate,14.1,24.0,33,,12.6,No Different than U.S. National Rate,9.1,17.5,83,,14.4,No Different than U.S. National Rate,10.0,20.1,51,,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,30.1,Worse than U.S. National Rate,25.2,35.2,93,,20.1,No Different than U.S. National Rate,16.0,25.0,43,
3645,,,,400120,HIMA SAN PABLO-CAGUAS,AVE LUIS MUNOZ MARIN,,,CAGUAS,PR,725.0,CAGUAS,7876533434.0,17.7,No Different than U.S. National Rate,13.4,23.0,70,,12.6,No Different than U.S. National Rate,9.1,17.5,111,,12.3,No Different than U.S. National Rate,8.7,16.6,129,,21.3,No Different than U.S. National Rate,16.8,26.4,50,,26.5,No Different than U.S. National Rate,22.1,31.5,122,,17.4,No Different than U.S. National Rate,13.8,21.7,117,
3646,,,,400121,HOSPITAL SAN GERARDO,ROAD NO 844 KM 0 5 PO CUPEY BAJO,,,RIO PIEDRAS,PR,928.0,SAN JUAN,7877618383.0,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.8,No Different than U.S. National Rate,8.7,18.4,44,,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,20.0,No Different than U.S. National Rate,15.5,25.2,40,
3647,,,,400123,HOSPITAL PEREA,15 DR BASORA STREET,,,MAYAGUEZ,PR,681.0,MAYAGUEZ,7878340101.0,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,14.8,No Different than U.S. National Rate,10.5,20.4,46,,14.0,No Different than U.S. National Rate,10.1,19.1,65,,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.2,No Different than U.S. National Rate,20.6,30.5,44,,18.0,No Different than U.S. National Rate,14.1,23.0,60,
3648,,,,400124,CENTRO CARDIOVASCULAR,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM",,,RIO PIEDRAS,PR,936.0,SAN JUAN,7877548500.0,16.0,No Different than U.S. National Rate,11.9,21.8,45,,12.9,No Different than U.S. National Rate,9.1,18.0,70,,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.9,No Different than U.S. National Rate,14.9,23.5,70,,23.1,No Different than U.S. National Rate,18.9,28.1,67,,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3649,,,,400125,HIMA-SAN PABLO FAJARDO,GENERAL VALERO AVE#404,,,FAJARDO,PR,738.0,FAJARDO,7876550505.0,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
3650,,,,400126,HOSPITAL METROPOLITANO SAN GERMAN,CALLE JAVILLA  #8 AL COSTADO PARQUE DE BOMBAS,,,SAN GERMAN,PR,683.0,SAN GERMAN,7878925300.0,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3651,,,,400127,ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,BO MONACILLO CARR NUM 22,,,SAN JUAN,PR,935.0,SAN JUAN,7877773535.0,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
3652,,,,400128,"HOSPITAL PAVIA HATO REY, INC",AVE PONCE DE LEON 435,,,HATO REY,PR,919.0,SAN JUAN,7877540909.0,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,14.0,No Different than U.S. National Rate,9.8,19.4,31,,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.1,No Different than U.S. National Rate,19.4,30.1,26,,18.2,No Different than U.S. National Rate,14.2,23.3,27,
3653,,,,400130,HOSPITAL METROPOLITANO DE LA MONTANA,CALLE ISAAC GONZALEZ ESQUINA LEDESMA,,,BDA NUEVA,PR,641.0,UTUADO,7879331100.0,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
3654,,,,410001,MEMORIAL HOSPITAL OF RHODE ISLAND,111 BREWSTER STREET,,,PAWTUCKET,RI,2860.0,PROVIDENCE,4017292000.0,14.9,No Different than U.S. National Rate,11.3,19.1,68,,12.8,No Different than U.S. National Rate,10.1,16.0,254,,12.8,No Different than U.S. National Rate,9.8,16.3,216,,20.8,No Different than U.S. National Rate,16.6,25.5,49,,28.4,No Different than U.S. National Rate,24.6,32.4,310,,22.1,No Different than U.S. National Rate,18.2,26.3,221,
3655,,,,410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,,,PROVIDENCE,RI,2908.0,PROVIDENCE,4014562000.0,16.3,No Different than U.S. National Rate,12.9,20.4,93,,10.8,No Different than U.S. National Rate,8.3,13.8,173,,11.6,No Different than U.S. National Rate,9.1,14.8,226,,19.0,No Different than U.S. National Rate,15.3,23.1,80,,26.1,No Different than U.S. National Rate,22.2,30.3,202,,16.9,No Different than U.S. National Rate,13.9,20.6,238,
3656,,,,410005,ST JOSEPH HEALTH SERVICES OF RI,200 HIGH SERVICE AVENUE,,,NORTH PROVIDENCE,RI,2904.0,PROVIDENCE,4014563000.0,15.5,No Different than U.S. National Rate,12.1,19.2,101,,11.9,No Different than U.S. National Rate,9.5,14.8,306,,14.6,No Different than U.S. National Rate,11.7,18.1,256,,20.1,No Different than U.S. National Rate,16.0,24.5,71,,26.7,No Different than U.S. National Rate,23.2,30.5,342,,20.3,No Different than U.S. National Rate,16.9,24.0,254,
3657,,,,410006,NEWPORT HOSPITAL,FRIENDSHIP STREET,,,NEWPORT,RI,2840.0,NEWPORT,4018466400.0,15.6,No Different than U.S. National Rate,11.8,20.3,57,,13.7,No Different than U.S. National Rate,10.8,17.3,221,,10.0,No Different than U.S. National Rate,7.7,12.7,243,,18.8,No Different than U.S. National Rate,14.7,23.5,31,,23.9,No Different than U.S. National Rate,20.5,28.0,236,,18.5,No Different than U.S. National Rate,15.5,22.1,262,
3658,,,,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,,,PROVIDENCE,RI,2902.0,PROVIDENCE,4014444000.0,13.9,No Different than U.S. National Rate,11.4,16.6,419,,10.8,No Different than U.S. National Rate,9.0,12.9,744,,11.3,No Different than U.S. National Rate,9.3,13.5,536,,21.4,No Different than U.S. National Rate,18.5,24.6,473,,25.4,No Different than U.S. National Rate,23.0,27.9,953,,22.4,Worse than U.S. National Rate,19.3,25.5,559,
3659,,,,410008,SOUTH COUNTY HOSPITAL INC,100 KENYON AVE,,,WAKEFIELD,RI,2879.0,WASHINGTON,4017828000.0,14.7,No Different than U.S. National Rate,11.0,19.1,75,,15.6,Worse than U.S. National Rate,12.2,19.3,205,,14.9,No Different than U.S. National Rate,11.4,19.1,199,,19.6,No Different than U.S. National Rate,15.7,24.3,53,,25.3,No Different than U.S. National Rate,21.6,29.5,229,,18.2,No Different than U.S. National Rate,14.9,22.2,194,
3660,,,,410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,,,WARWICK,RI,2886.0,KENT,4017377000.0,14.4,No Different than U.S. National Rate,11.6,17.5,206,,11.3,No Different than U.S. National Rate,9.3,13.6,532,,10.4,No Different than U.S. National Rate,8.5,12.8,486,,20.0,No Different than U.S. National Rate,16.6,23.7,159,,26.0,No Different than U.S. National Rate,23.3,28.9,638,,20.0,No Different than U.S. National Rate,17.4,22.9,503,
3661,,,,410010,WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND,101 DUDLEY STREET,,,PROVIDENCE,RI,2905.0,PROVIDENCE,4012741100.0,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3662,,,,410011,"LANDMARK MEDICAL CENTER,  INC",115 CASS AVE,,,WOONSOCKET,RI,2895.0,PROVIDENCE,4017694100.0,14.2,No Different than U.S. National Rate,11.0,17.8,144,,12.9,No Different than U.S. National Rate,10.5,15.8,319,,14.8,No Different than U.S. National Rate,11.5,18.7,202,,19.0,No Different than U.S. National Rate,15.2,23.2,116,,23.9,No Different than U.S. National Rate,20.8,27.3,364,,18.7,No Different than U.S. National Rate,15.3,22.6,186,
3663,,,,410012,MIRIAM HOSPITAL,164 SUMMIT AVENUE,,,PROVIDENCE,RI,2906.0,PROVIDENCE,4017932500.0,11.9,Better than U.S. National Rate,9.5,14.8,327,,11.6,No Different than U.S. National Rate,9.5,14.1,480,,11.9,No Different than U.S. National Rate,9.9,14.3,523,,19.5,No Different than U.S. National Rate,16.8,22.8,470,,25.5,No Different than U.S. National Rate,22.7,28.5,627,,22.2,Worse than U.S. National Rate,18.9,25.2,556,
3664,,,,410013,WESTERLY HOSPITAL,25 WELLS STREET,,,WESTERLY,RI,2891.0,WASHINGTON,4015966000.0,17.7,No Different than U.S. National Rate,13.9,22.0,83,,10.1,No Different than U.S. National Rate,7.9,13.0,272,,12.5,No Different than U.S. National Rate,9.8,15.6,305,,18.9,No Different than U.S. National Rate,15.2,23.4,50,,22.1,No Different than U.S. National Rate,19.2,25.8,325,,15.9,No Different than U.S. National Rate,13.3,19.3,320,
3665,,,,41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,,,PROVIDENCE                    ,RI,2908.0,COLUMBIA,4014573042.0,15.3,No Different than U.S. National Rate,11.5,20.1,58,,11.7,No Different than U.S. National Rate,9.2,14.6,292,,14.0,No Different than U.S. National Rate,11.0,17.4,261,,21.0,No Different than U.S. National Rate,16.8,26.0,32,,30.2,Worse than U.S. National Rate,26.4,34.0,376,,19.7,No Different than U.S. National Rate,16.4,23.4,272,
3666,,,,420002,PIEDMONT MEDICAL CENTER,222 S HERLONG AVE,,,ROCK HILL,SC,29730.0,YORK,8033291234.0,18.0,No Different than U.S. National Rate,14.6,21.9,324,,15.2,Worse than U.S. National Rate,12.4,18.5,389,,14.4,Worse than U.S. National Rate,12.3,16.9,600,,18.6,No Different than U.S. National Rate,15.6,21.9,371,,24.3,No Different than U.S. National Rate,21.3,27.5,474,,20.2,No Different than U.S. National Rate,17.5,23.0,619,
3667,,,,420004,MUSC MEDICAL CENTER,169 ASHLEY AVE,,,CHARLESTON,SC,29425.0,CHARLESTON,8437922300.0,12.9,No Different than U.S. National Rate,9.9,16.7,176,,11.8,No Different than U.S. National Rate,9.2,14.8,327,,14.3,No Different than U.S. National Rate,11.6,17.7,260,,19.4,No Different than U.S. National Rate,16.2,23.0,240,,25.2,No Different than U.S. National Rate,22.0,28.4,450,,17.4,No Different than U.S. National Rate,14.5,20.6,300,
3668,,,,420005,MCLEOD MEDICAL CENTER - DILLON,301 E JACKSON ST,,,DILLON,SC,29536.0,DILLON,8437744111.0,15.3,No Different than U.S. National Rate,11.9,19.8,71,,11.1,No Different than U.S. National Rate,8.3,15.0,136,,11.3,No Different than U.S. National Rate,8.1,15.8,110,,20.1,No Different than U.S. National Rate,16.2,24.7,61,,23.5,No Different than U.S. National Rate,19.5,27.9,177,,17.3,No Different than U.S. National Rate,13.8,21.5,118,
3669,,,,420007,SPARTANBURG REGIONAL MEDICAL CENTER,101 E WOOD ST,,,SPARTANBURG,SC,29303.0,SPARTANBURG,8645606000.0,14.5,No Different than U.S. National Rate,12.2,17.2,520,,10.7,No Different than U.S. National Rate,9.1,12.5,916,,9.9,Better than U.S. National Rate,8.3,11.8,783,,20.3,No Different than U.S. National Rate,17.6,23.5,562,,20.5,Better than U.S. National Rate,18.4,22.9,1091,,17.1,No Different than U.S. National Rate,15.1,19.4,822,
3670,,,,420009,OCONEE MEDICAL CENTER,298 MEMORIAL DRIVE,,,SENECA,SC,29672.0,OCONEE,8648823351.0,16.9,No Different than U.S. National Rate,13.3,21.0,100,,12.3,No Different than U.S. National Rate,9.8,15.6,307,,13.0,No Different than U.S. National Rate,10.7,15.6,626,,19.9,No Different than U.S. National Rate,15.9,24.6,55,,22.4,No Different than U.S. National Rate,19.3,26.0,355,,17.8,No Different than U.S. National Rate,15.5,20.5,674,
3671,,,,420010,CAROLINA PINES REGIONAL MEDICAL CENTER,1304 W BOBO NEWSOM HWY,,,HARTSVILLE,SC,29550.0,DARLINGTON,8643392100.0,16.4,No Different than U.S. National Rate,12.8,20.7,52,,12.0,No Different than U.S. National Rate,9.0,15.2,223,,9.0,No Different than U.S. National Rate,6.8,12.1,238,,21.4,No Different than U.S. National Rate,17.2,26.0,37,,27.5,No Different than U.S. National Rate,23.6,31.4,303,,21.4,No Different than U.S. National Rate,18.0,25.2,290,
3672,,,,420011,CANNON MEMORIAL HOSPITAL,123 MEDICAL PARK DRIVE PO BOX 188,,,PICKENS,SC,29671.0,PICKENS,8648784791.0,15.0,No Different than U.S. National Rate,11.4,19.4,54,,11.8,No Different than U.S. National Rate,8.6,16.3,65,,12.1,No Different than U.S. National Rate,8.8,16.5,149,,19.3,No Different than U.S. National Rate,15.2,24.0,45,,24.6,No Different than U.S. National Rate,20.0,29.8,78,,17.1,No Different than U.S. National Rate,13.8,20.9,162,
3673,,,,420015,BAPTIST EASLEY HOSPITAL,200 FLEETWOOD DRIVE,,,EASLEY,SC,29640.0,PICKENS,8644427200.0,17.1,No Different than U.S. National Rate,13.4,21.4,88,,15.2,Worse than U.S. National Rate,11.8,19.3,164,,13.1,No Different than U.S. National Rate,10.2,16.7,305,,20.3,No Different than U.S. National Rate,16.5,24.8,70,,26.2,No Different than U.S. National Rate,22.1,30.5,194,,19.6,No Different than U.S. National Rate,16.5,23.0,323,
3674,,,,420016,BARNWELL COUNTY HOSPITAL,PO BOX 588  811  REYNOLDS ROAD,,,BARNWELL,SC,29812.0,BARNWELL,8035414161.0,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.2,No Different than U.S. National Rate,7.7,15.3,64,,12.1,No Different than U.S. National Rate,8.5,17.3,66,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.7,No Different than U.S. National Rate,20.4,29.8,91,,18.2,No Different than U.S. National Rate,14.4,23.0,78,
3675,,,,420018,PALMETTO HEALTH RICHLAND,5 RICHLAND MEDICAL PARK,,,COLUMBIA,SC,29203.0,RICHLAND,8032965678.0,13.8,No Different than U.S. National Rate,11.0,16.9,319,,11.4,No Different than U.S. National Rate,9.3,13.9,587,,12.8,No Different than U.S. National Rate,10.2,16.2,298,,18.3,No Different than U.S. National Rate,15.6,21.6,373,,23.4,No Different than U.S. National Rate,20.8,26.3,725,,17.7,No Different than U.S. National Rate,14.9,21.0,324,
3676,,,,420019,CHESTER REGIONAL MEDICAL CENTER,1 MEDICAL PARK DRIVE,,,CHESTER,SC,29706.0,CHESTER,8035813151.0,16.1,No Different than U.S. National Rate,12.1,21.0,44,,12.5,No Different than U.S. National Rate,9.1,17.1,104,,12.3,No Different than U.S. National Rate,8.7,17.0,96,,18.8,No Different than U.S. National Rate,14.6,23.7,26,,22.8,No Different than U.S. National Rate,18.8,27.4,143,,17.5,No Different than U.S. National Rate,13.8,21.9,102,
3677,,,,420020,GEORGETOWN MEMORIAL HOSPITAL,606 BLACK RIVER RD DRAWER 1718,,,GEORGETOWN,SC,29440.0,GEORGETOWN,8435277000.0,14.3,No Different than U.S. National Rate,10.9,18.3,114,,11.0,No Different than U.S. National Rate,8.1,14.5,162,,10.0,No Different than U.S. National Rate,7.5,13.3,213,,21.2,No Different than U.S. National Rate,17.3,26.0,111,,28.6,No Different than U.S. National Rate,24.4,33.1,198,,17.9,No Different than U.S. National Rate,14.7,21.6,223,
3678,,,,420023,ST FRANCIS-DOWNTOWN,ONE ST FRANCIS DR,,,GREENVILLE,SC,29601.0,GREENVILLE,8642551000.0,16.4,No Different than U.S. National Rate,13.4,19.8,330,,14.7,Worse than U.S. National Rate,12.4,17.3,672,,16.0,Worse than U.S. National Rate,13.3,19.0,480,,18.3,No Different than U.S. National Rate,15.2,21.7,335,,20.0,Better than U.S. National Rate,17.7,23.0,817,,14.3,Better than U.S. National Rate,11.9,17.3,474,
3679,,,,420026,SISTERS OF CHARITY PROVIDENCE HOSPITALS,2435 FOREST DR,,,COLUMBIA,SC,29204.0,RICHLAND,8032565300.0,15.2,No Different than U.S. National Rate,12.8,17.9,624,,10.2,No Different than U.S. National Rate,8.5,12.2,790,,13.9,No Different than U.S. National Rate,11.3,16.7,347,,19.6,No Different than U.S. National Rate,17.3,22.1,836,,22.4,No Different than U.S. National Rate,20.1,25.0,956,,16.9,No Different than U.S. National Rate,14.2,20.2,365,
